"gse"	"sample_count"	"title"	"type"	"gpl"	"gpl_title"	"manufacturer"
"GSE53882"	548	"The prognostic and predictive value of a three-microRNA-based classifier in NSCLC"	"Expression profiling by array"	"GPL18130"	"State Key Laboratory Human microRNA array 1888"	"State Key Laboratory of Oncology in South China,Sun Yat-sen University"
"GSE63459"	65	"Multi-platform Characterization of Stage I Lung Adenocarcinoma (mRNA expression)"	"Expression profiling by array"	"GPL6883"	"Illumina HumanRef-8 v3.0 expression beadchip"	"Illumina Inc."
"GSE68465"	443	"caArray_jacob-00182: Gene expression-based survival prediction in lung adenocarcinoma: a multi-site, blinded validation study"	"Expression profiling by array"	"GPL96"	"[HG-U133A] Affymetrix Human Genome U133A Array"	"Affymetrix"
"GSE68571"	96	"caArray_beer-00153: Gene-expression profiles predict survival of patients with lung adenocarcinoma"	"Expression profiling by array"	"GPL80"	"[Hu6800] Affymetrix Human Full Length HuGeneFL Array"	"Affymetrix"
"GSE72094"	442	"KRAS mutation-associated gene expression, p53 and STK11 mutations, proliferation and immune surveillance in lung adenocarcinoma"	"Expression profiling by array"	"GPL15048"	"Rosetta/Merck Human RSTA Custom Affymetrix 2.0 microarray [HuRSTA_2a520709.CDF]"	"Affymetrix"
"GSE74777"	107	"Expression profiling of Early Stage Lung Squamous Cell Carcinomas"	"Expression profiling by array"	"GPL17586"	"[HTA-2_0] - Affymetrix GeneChip HTA-2_0 - Gene Level - HTA-2_0.r1.Psrs.mps probesets"	"Affymetrix"
"GSE81089"	199	"Next Generation Sequencing (RNAseq) of non-small cell lung cancer"	"Expression profiling by high throughput sequencing"	"GPL16791"	"Illumina HiSeq 2500 (Homo sapiens)"	NA
"GSE87340"	54	"Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers"	"Expression profiling by high throughput sequencing"	"GPL11154"	"Illumina HiSeq 2000 (Homo sapiens)"	NA
"GSE8894"	138	"Prediction of Recurrence-Free Survival in Postoperative NSCLC Patients—a Useful Prospective Clinical Practice"	"Expression profiling by array"	"GPL570"	"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array"	"Affymetrix"
"GSE93157"	65	"Programmed death 1 receptor blockade and immune-related gene expression profiling in non-small cell lung carcinoma, head and neck squamous cell carcinoma and melanoma"	"Expression profiling by array"	"GPL19965"	"nCounter PanCancer Immune Profiling Panel"	"NanoString"
